week,region,price,log_price,price_change
1997-12-08,Midwest,1.121,0.11422114409002286,-0.01680711831638114
1997-12-15,Midwest,1.108,0.10255658832509215,-0.011664555764930709
1997-12-22,Midwest,1.099,0.0944006754214843,-0.008155912903607856
1997-12-29,Midwest,1.086,0.08250122151174377,-0.011899453909740523
1998-01-05,Midwest,1.072,0.0695260626486103,-0.012975158863133468
1998-01-12,Midwest,1.071,0.06859279146561167,-0.0009332711829986295
1998-01-19,Midwest,1.057,0.055434706888100524,-0.01315808457751115
1998-01-26,Midwest,1.033,0.03246719013750141,-0.02296751675059911
1998-02-02,Midwest,1.048,0.04688358589885046,0.014416395761349045
1998-02-09,Midwest,1.048,0.04688358589885046,0.0
1998-02-16,Midwest,1.035,0.03440142671733232,-0.01248215918151814
1998-02-23,Midwest,1.062,0.060153922819747144,0.025752496102414826
1998-03-02,Midwest,1.044,0.04305948946044701,-0.01709443335930013
1998-03-09,Midwest,1.036,0.035367143837291344,-0.007692345623155669
1998-03-16,Midwest,1.03,0.02955880224154443,-0.005808341595746915
1998-03-23,Midwest,1.026,0.025667746748577813,-0.0038910554929666163
1998-03-30,Midwest,1.069,0.06672363204290813,0.04105588529433031
1998-04-06,Midwest,1.057,0.055434706888100524,-0.011288925154807603
1998-04-13,Midwest,1.045,0.04401688541677426,-0.011417821471326264
1998-04-20,Midwest,1.058,0.05638033343610769,0.01236344801933343
1998-04-27,Midwest,1.078,0.07510747248680548,0.01872713905069779
1998-05-04,Midwest,1.085,0.08157998699242285,0.006472514505617366
1998-05-11,Midwest,1.103,0.0980337402713654,0.01645375327894255
1998-05-18,Midwest,1.11,0.10436001532424286,0.006326275052877459
1998-05-25,Midwest,1.105,0.09984533496971612,-0.0045146803545267344
1998-06-01,Midwest,1.096,0.09166718852582387,-0.008178146443892254
1998-06-08,Midwest,1.119,0.11243542932978817,0.020768240803964305
1998-06-15,Midwest,1.099,0.0944006754214843,-0.018034753908303877
1998-06-22,Midwest,1.085,0.08157998699242285,-0.01282068842906145
1998-06-29,Midwest,1.09,0.08617769624105241,0.004597709248629567
1998-07-06,Midwest,1.1,0.09531017980432493,0.009132483563272523
1998-07-13,Midwest,1.087,0.08342160813907236,-0.011888571665252576
1998-07-20,Midwest,1.102,0.09712671073072282,0.013705102591650462
1998-07-27,Midwest,1.086,0.08250122151174377,-0.014625489218979049
1998-08-03,Midwest,1.068,0.06578774053800315,-0.01671348097374062
1998-08-10,Midwest,1.06,0.058268908123975824,-0.007518832414027329
1998-08-17,Midwest,1.048,0.04688358589885046,-0.011385322225125366
1998-08-24,Midwest,1.035,0.03440142671733232,-0.01248215918151814
1998-08-31,Midwest,1.032,0.031498667059371016,-0.0029027596579613013
1998-09-07,Midwest,1.027,0.026641930946421092,-0.004856736112949924
1998-09-14,Midwest,1.02,0.01980262729617973,-0.006839303650241362
